"DisNo.","Historic","Classification Key","Disaster Group","Disaster Subgroup","Disaster Type","Disaster Subtype","","Event Name","ISO","Country","Subregion","Region","Location","Origin","Associated Types","OFDA/BHA Response","Appeal","Declaration","AID Contribution ('000 US$)","Magnitude","Magnitude Scale","Latitude","Longitude","River Basin","Start Year","Start Month","Start Day","End Year","End Month","End Day","Total Deaths","No. Injured","No. Affected","No. Homeless","Total Affected","Total Damage ('000 US$)","Total Damage, Adjusted ('000 US$)","Entry Date","Last Update"
"2000-0038-PHL","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","PHL","Philippines","South-eastern Asia","Asia","Agusan del Sur, Agusan del Norte, Surigao del Sur districts (Region XIII province), Davao Oriental, Davao del Norte, Compostela districts (Region XI province)","Brief torrential rain","Slide (land, mud, snow, rock)","No","No","No","","16700","Km2","","","","2000","1","28","2000","2","1","50","","153885","","153885","4080","7219","2004-10-27","2023-09-25"
"2000-0066-PHL","No","nat-hyd-flo-coa","Natural","Hydrological","Flood","Coastal flood","","","PHL","Philippines","South-eastern Asia","Asia","Tawi-Tawi district (ARMM province)","","","No","No","No","","3","Km2","","","","2000","1","22","2000","1","22","","","","5250","5250","","","2003-07-01","2023-09-25"
"2000-0082-IDN","No","nat-hyd-mmw-mud","Natural","Hydrological","Mass movement (wet)","Mudslide","","","IDN","Indonesia","South-eastern Asia","Asia","Brebes district (Jawa Tengah province)","Heavy rains","","No","No","No","","","","","","","2000","2","22","2000","2","24","34","","","","","11600","20526","2005-07-21","2023-09-25"
"2000-0089-PHL","No","nat-geo-vol-ash","Natural","Geophysical","Volcanic activity","Ash fall","","Mt. Mayon","PHL","Philippines","South-eastern Asia","Asia","Legazpi City area (Albay district, Region V (Bicol region) province)","","","Yes","No","No","647","","","13.257","123.685","","2000","2","24","2000","3","9","","","68426","","68426","2214","3918","2005-06-01","2023-09-25"
"2000-0108-IDN","No","nat-bio-epi-vir","Natural","Biological","Epidemic","Viral disease","","Dengue fever","IDN","Indonesia","South-eastern Asia","Asia","Jakarta","","","No","No","No","","","Vaccinated","","","","2000","1","","2000","1","","10","","1516","","1516","","","2003-07-01","2023-09-25"
"2000-0117-IDN","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire","","","IDN","Indonesia","South-eastern Asia","Asia","Riau province (Sumatra Isl.), Kalimatan Barat, Kalimatan Tengah provinces (Borneo Isl.) ","","","No","No","No","","","Km2","","","","2000","2","","2000","2","","","","","","","","","2003-07-01","2023-09-25"
"2000-0159-MYS","No","nat-bio-epi-dis","Natural","Biological","Epidemic","Infectious disease (General)","","","MYS","Malaysia","South-eastern Asia","Asia","Sarawak","","","No","No","No","","","Vaccinated","","","","2000","1","","2000","1","","2","","480","","480","","","2003-07-01","2023-09-25"
"2000-0230-IDN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement","","","IDN","Indonesia","South-eastern Asia","Asia","Totikum, Tinangkung, Liang villages (Banggai Kepulauan district, Sulawesi Tengah province), Banggai district (Sulawesi Tengah province)","","Tsunami/Tidal wave","No","No","No","215","7.6","Moment Magnitude","-1.105","123.573","","2000","5","4","2000","5","4","45","270","","52500","52770","30000","53084","2005-07-09","2023-09-25"
"2000-0257-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Biring","PHL","Philippines","South-eastern Asia","Asia","National Capital region (NCR), Region III (Central Luzon) provinces","","Flood","No","No","No","","","Kph","","","","2000","5","18","2000","5","18","12","4","235885","","235889","1201","2125","2004-10-26","2023-09-25"
"2000-0258-IDN","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","IDN","Indonesia","South-eastern Asia","Asia","Malaka Tengah, Malaka Barat areas (Belu district, Nusatenggara Timur province)","Heavy rain","","Yes","No","Yes","100","11400","Km2","","","Beneneai river","2000","5","16","2000","5","24","126","","50000","","50000","79000","139788","2005-02-09","2023-09-25"
"2000-0293-IDN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement","","","IDN","Indonesia","South-eastern Asia","Asia","Enggano island (Bengkulu Utara district, Bengkulu province)","","Slide (land, mud, snow, rock)","Yes","No","No","5031","6.7","Moment Magnitude","-4.646","102.102","","2000","6","4","2000","6","4","103","2714","200000","2000","204714","41000","72548","2003-09-09","2023-09-25"
